shelf,name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,weight,cups
Top,100%_Bran,N,C,70,4,1,130,10,5,6,280,25,1,0.33
Top,100%_Natural_Bran,Q,C,120,3,5,15,2,8,8,135,0,1,1
Top,All-Bran,K,C,70,4,1,260,9,7,5,320,25,1,0.33
Top,All-Bran_with_Extra_Fiber,K,C,50,4,0,140,14,8,0,330,25,1,0.5
Top,Almond_Delight,R,C,110,2,2,200,1,14,8,,25,1,0.75
Bottom,Apple_Cinnamon_Cheerios,G,C,110,2,2,180,1.5,10.5,10,70,25,1,0.75
Middle,Apple_Jacks,K,C,110,2,0,125,1,11,14,30,25,1,1
Top,Basic_4,G,C,130,3,2,210,2,18,8,100,25,1.33,0.75
Bottom,Bran_Chex,R,C,90,2,1,200,4,15,6,125,25,1,0.67
Top,Bran_Flakes,P,C,90,3,0,210,5,13,5,190,25,1,0.67
Middle,Cap'n'Crunch,Q,C,120,1,2,220,0,12,12,35,25,1,0.75
Bottom,Cheerios,G,C,110,6,2,290,2,17,1,105,25,1,1.25
Middle,Cinnamon_Toast_Crunch,G,C,120,1,3,210,0,13,9,45,25,1,0.75
Top,Clusters,G,C,110,3,2,140,2,13,7,105,25,1,0.5
Middle,Cocoa_Puffs,G,C,110,1,1,180,0,12,13,55,25,1,1
Bottom,Corn_Chex,R,C,110,2,0,280,0,22,3,25,25,1,1
Bottom,Corn_Flakes,K,C,100,2,0,290,1,21,2,35,25,1,1
Middle,Corn_Pops,K,C,110,1,0,90,1,13,12,20,25,1,1
Middle,Count_Chocula,G,C,110,1,1,180,0,12,13,65,25,1,1
Top,Cracklin'_Oat_Bran,K,C,110,3,3,140,4,10,7,160,25,1,0.5
Middle,Cream_of_Wheat_(Quick),N,H,100,3,0,80,1,21,0,,0,1,1
Top,Crispix,K,C,110,2,0,220,1,21,3,30,25,1,1
Top,Crispy_Wheat_&_Raisins,G,C,100,2,1,140,2,11,10,120,25,1,0.75
Top,Double_Chex,R,C,100,2,0,190,1,18,5,80,25,1,0.75
Middle,Froot_Loops,K,C,110,2,1,125,1,11,13,30,25,1,1
Bottom,Frosted_Flakes,K,C,110,1,0,200,1,14,11,25,25,1,0.75
Middle,Frosted_Mini-Wheats,K,C,100,3,0,0,3,14,7,100,25,1,0.8
Top,"Fruit_&_Fibre_Dates,_Walnuts,_and_Oats",P,C,120,3,2,160,5,12,10,200,25,1.25,0.67
Top,Fruitful_Bran,K,C,120,3,0,240,5,14,12,190,25,1.33,0.67
Middle,Fruity_Pebbles,P,C,110,1,1,135,0,13,12,25,25,1,0.75
Bottom,Golden_Crisp,P,C,100,2,0,45,0,11,15,40,25,1,0.88
Middle,Golden_Grahams,G,C,110,1,1,280,0,15,9,45,25,1,0.75
Top,Grape_Nuts_Flakes,P,C,100,3,1,140,3,15,5,85,25,1,0.88
Top,Grape-Nuts,P,C,110,3,0,170,3,17,3,90,25,1,0.25
Top,Great_Grains_Pecan,P,C,120,3,3,75,3,13,4,100,25,1,0.33
Middle,Honey_Graham_Ohs,Q,C,120,1,2,220,1,12,11,45,25,1,1
Bottom,Honey_Nut_Cheerios,G,C,110,3,1,250,1.5,11.5,10,90,25,1,0.75
Bottom,Honey-comb,P,C,110,1,0,180,0,14,11,35,25,1,1.33
Top,Just_Right_Crunchy__Nuggets,K,C,110,2,1,170,1,17,6,60,100,1,1
Top,Just_Right_Fruit_&_Nut,K,C,140,3,1,170,2,20,9,95,100,1.3,0.75
Middle,Kix,G,C,110,2,1,260,0,21,3,40,25,1,1.5
Middle,Life,Q,C,100,4,2,150,2,12,6,95,25,1,0.67
Middle,Lucky_Charms,G,C,110,2,1,180,0,12,12,55,25,1,1
Middle,Maypo,A,H,100,4,1,0,0,16,3,95,25,1,1
Top,"Muesli_Raisins,_Dates,_&_Almonds",R,C,150,4,3,95,3,16,11,170,25,1,1
Top,"Muesli_Raisins,_Peaches,_&_Pecans",R,C,150,4,3,150,3,16,11,170,25,1,1
Top,Mueslix_Crispy_Blend,K,C,160,3,2,150,3,17,13,160,25,1.5,0.67
Bottom,Multi-Grain_Cheerios,G,C,100,2,1,220,2,15,6,90,25,1,1
Middle,Nut&Honey_Crunch,K,C,120,2,1,190,0,15,9,40,25,1,0.67
Top,Nutri-Grain_Almond-Raisin,K,C,140,3,2,220,3,21,7,130,25,1.33,0.67
Top,Nutri-grain_Wheat,K,C,90,3,0,170,3,18,2,90,25,1,1
Top,Oatmeal_Raisin_Crisp,G,C,130,3,2,170,1.5,13.5,10,120,25,1.25,0.5
Top,Post_Nat._Raisin_Bran,P,C,120,3,1,200,6,11,14,260,25,1.33,0.67
Top,Product_19,K,C,100,3,0,320,1,20,3,45,100,1,1
Top,Puffed_Rice,Q,C,50,1,0,0,0,13,0,15,0,0.5,1
Top,Puffed_Wheat,Q,C,50,2,0,0,1,10,0,50,0,0.5,1
Top,Quaker_Oat_Squares,Q,C,100,4,1,135,2,14,6,110,25,1,0.5
Bottom,Quaker_Oatmeal,Q,H,100,5,2,0,2.7,,,110,0,1,0.67
Middle,Raisin_Bran,K,C,120,3,1,210,5,14,12,240,25,1.33,0.75
Top,Raisin_Nut_Bran,G,C,100,3,2,140,2.5,10.5,8,140,25,1,0.5
Top,Raisin_Squares,K,C,90,2,0,0,2,15,6,110,25,1,0.5
Bottom,Rice_Chex,R,C,110,1,0,240,0,23,2,30,25,1,1.13
Bottom,Rice_Krispies,K,C,110,2,0,290,0,22,3,35,25,1,1
Bottom,Shredded_Wheat,N,C,80,2,0,0,3,16,0,95,0,0.83,1
Bottom,Shredded_Wheat_'n'Bran,N,C,90,3,0,0,4,19,0,140,0,1,0.67
Bottom,Shredded_Wheat_spoon_size,N,C,90,3,0,0,3,20,0,120,0,1,0.67
Middle,Smacks,K,C,110,2,1,70,1,9,15,40,25,1,0.75
Bottom,Special_K,K,C,110,6,0,230,1,16,3,55,25,1,1
Middle,Strawberry_Fruit_Wheats,N,C,90,2,0,15,3,15,5,90,25,1,1
Top,Total_Corn_Flakes,G,C,110,2,1,200,0,21,3,35,100,1,1
Top,Total_Raisin_Bran,G,C,140,3,1,190,4,15,14,230,100,1.5,1
Top,Total_Whole_Grain,G,C,100,3,1,200,3,16,3,110,100,1,1
Top,Triples,G,C,110,2,1,250,0,21,3,60,25,1,0.75
Middle,Trix,G,C,110,1,1,140,0,13,12,25,25,1,1
Bottom,Wheat_Chex,R,C,100,3,1,230,3,17,3,115,25,1,0.67
Bottom,Wheaties,G,C,100,3,1,200,3,17,3,110,25,1,1
Bottom,Wheaties_Honey_Gold,G,C,110,2,1,200,1,16,8,60,25,1,0.75
